kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing,koi_period_log,koi_depth_log,koi_prad_log,koi_srad_log
K00582.03,CONFIRMED,9.93962361,3.432,300.1,1.93,5105.0,4.469,0.868,14.808,0,0,0,0,0,2.3923913914659574,5.707442435487688,1.0750024230289759,0.6248683398066509
K00428.01,CONFIRMED,6.8731664,6.8569,3753.8,13.44,6490.0,3.942,2.179,14.588,0,0,0,0,0,2.063460319505461,8.230790300462838,2.67000213346468,1.1565666819286655
K00429.01,CONFIRMED,8.600099313,4.0077,2791.6,4.17,5246.0,4.501,0.805,14.486,0,0,0,0,0,2.2617734435244468,7.934728340508094,1.6428726885203377,0.5905605917848442
K00430.01,CONFIRMED,12.37646897,2.7075,1709.0,2.53,4200.0,4.664,0.607,14.897,0,0,0,0,0,2.593497116283959,7.444248649496705,1.2612978709452054,0.47436908675537554
K00430.02,CANDIDATE,9.340538,2.57,200.8,0.84,4200.0,4.664,0.607,14.897,0,0,0,0,0,2.336071898674496,5.307277107919509,0.6097655716208943,0.47436908675537554
K01353.03,CONFIRMED,330.071558,4.295,616.7,2.94,5933.0,4.342,1.115,13.956,0,0,0,0,0,5.802334539323132,6.426002902701853,1.3711807233098425,0.7490548124982412
K00431.01,CONFIRMED,18.87022157,3.1404,1096.6,2.82,5402.0,4.452,0.865,14.262,0,0,0,0,0,2.989222207482933,7.000881256971621,1.3402504226184837,0.6232610530957788
K00070.05,CONFIRMED,19.5776073,3.382,98.1,0.9,5465.0,4.449,0.925,12.498,0,0,0,0,0,3.024203460284307,4.596129441335942,0.6418538861723948,0.6549259677397475
K00484.01,CONFIRMED,17.20522898,3.6688,1080.6,2.22,5211.0,4.643,0.689,14.472,0,0,0,0,0,2.901708859411521,6.9861967052887,1.169381359556317,0.524136637825663
K00485.01,FALSE POSITIVE,17.90766147,5.396,1089.3,4.89,6153.0,4.471,0.993,14.162,0,0,0,0,0,2.9395672087089375,6.994208166712336,1.7732559976634952,0.6896410412306576
K00486.01,CONFIRMED,22.18332255,5.1364,748.1,2.78,5565.0,4.361,1.03,14.118,0,0,0,0,0,3.1434331645682363,6.618872485953837,1.3297240096314962,0.708035793053696
K02342.02,FALSE POSITIVE,354.78194,6.46,193.0,30.53,5798.0,4.025,1.525,13.037,0,0,0,0,0,5.874318015090172,5.267858159063328,3.4509394735569696,0.9262410627273231
K00487.01,CONFIRMED,7.65880048,3.0427,668.2,2.19,5657.0,4.508,0.855,14.528,0,0,0,0,0,2.158576200278495,6.506082969112669,1.1600209167967532,0.6178846960593984
K00488.01,CONFIRMED,9.3789167,3.3427,563.5,2.03,5684.0,4.493,0.808,14.72,0,0,0,0,0,2.3397765081295745,6.335940383589716,1.1085626195212777,0.5922212619699848
K00532.01,CONFIRMED,4.221626193,3.0619,658.0,2.87,6123.0,4.472,0.987,14.708,0,0,0,0,0,1.6528088846048243,6.490723534502507,1.3532545070416904,0.6866259635696798
K00533.01,CONFIRMED,16.54967098,4.3808,744.5,2.95,5372.0,4.434,0.916,14.68,0,0,0,0,0,2.865035202157789,6.6140551342047935,1.3737155789130306,0.6502396795486688
K00085.02,CONFIRMED,2.154911236,3.1341,99.7,1.42,6181.0,4.22,1.424,11.018,0,0,0,0,0,1.1489603612075396,4.612145799724517,0.8837675401685949,0.885419068207068
K00317.02,CANDIDATE,11.505879,5.583,49.8,0.99,6336.0,4.266,1.403,12.885,0,0,0,0,0,2.5261988537424704,3.927896354584436,0.688134638736401,0.8767179567543318
K00533.02,CONFIRMED,3.52467888,2.484,129.7,1.46,5372.0,4.434,0.916,14.68,0,0,0,0,0,1.5095466088878455,4.872904620630176,0.9001613499442714,0.6502396795486688
K00534.01,CONFIRMED,6.400157105,2.0004,743.2,2.52,5299.0,4.597,0.766,14.613,0,0,0,0,0,2.0015012303901676,6.612309815912522,1.2584609896100059,0.5687171021817683
K00583.01,CONFIRMED,2.437029217,3.2005,244.0,2.04,5573.0,4.177,1.329,14.573,0,0,0,0,0,1.2346074985589444,5.501258210544727,1.1118575154181303,0.845438990902204
K00584.01,CONFIRMED,9.9267215,3.8428,725.5,2.76,5475.0,4.43,0.982,14.129,0,0,0,0,0,2.391211302938826,6.588238483010338,1.324418957401803,0.6841064359077962
K00584.02,CONFIRMED,21.22349325,4.9416,582.9,2.63,5475.0,4.43,0.982,14.129,0,0,0,0,0,3.1011499838261742,6.369729735289492,1.2892326482767593,0.6841064359077962
K00584.03,CONFIRMED,6.47027706,3.343,116.9,1.15,5475.0,4.43,0.982,14.129,0,0,0,0,0,2.0109320881490222,4.769836807543325,0.7654678421395714,0.6841064359077962
K00585.01,CONFIRMED,3.722158895,1.9941,757.4,2.33,5617.0,4.574,0.806,14.911,0,0,0,0,0,1.5522660880336425,6.631210950940812,1.2029723039923526,0.5911144549947938
K00431.02,CONFIRMED,46.9026431,3.9264,821.3,2.6,5402.0,4.452,0.865,14.262,0,0,0,0,0,3.8691706824352443,6.71210529197685,1.2809338454620645,0.6232610530957788
K00432.01,CONFIRMED,5.263415218,2.1446,1030.7,3.77,6099.0,4.456,1.028,14.279,0,0,0,0,0,1.8347255983280049,6.93896320610633,1.5623463049002497,0.7070500857289368
K00433.01,CONFIRMED,4.030466786,2.7734,2908.3,4.48,5234.0,4.542,0.854,14.924,0,0,0,0,0,1.6155127802035716,7.975667781400609,1.7011051009599243,0.6173454671436633
K01437.02,FALSE POSITIVE,9.27989,3.33,164.3,1.29,6052.0,4.456,0.967,15.28,0,0,0,0,0,2.3301895595806643,5.107762004826979,0.8285518175661483,0.676509539406922
K00433.02,CONFIRMED,328.240201,12.2726,13889.0,10.99,5234.0,4.542,0.854,14.924,0,0,0,0,0,5.796787578601159,9.53892443574839,2.4840729690394228,0.6173454671436633
K00434.01,FALSE POSITIVE,22.264806569,8.7941,19373.0,12.34,5681.0,4.566,0.813,14.626,0,0,0,0,0,3.146941771013177,9.871687239986331,2.590767040487478,0.594982931772714
K00489.01,FALSE POSITIVE,2.217038096,1.8575,543.7,3.23,6521.0,4.352,1.276,14.613,0,0,0,0,0,1.1684610902756751,6.300235184389629,1.4422019930581866,0.8224195162640845
K00489.02,FALSE POSITIVE,8.874603,2.88,93.3,1.24,6517.0,4.349,1.278,14.613,0,0,0,0,0,2.2899661074473965,4.546481189639412,0.8064758658669485,0.8232978650249905
K00490.01,CONFIRMED,4.393157678,2.4455,447.2,1.41,4799.0,4.631,0.692,14.023,0,0,0,0,0,1.6851310534578134,6.105239561366827,0.8796267475025636,0.5259112611840315
K02583.02,FALSE POSITIVE,251.7512,4.314,114.3,1.25,5640.0,4.492,0.921,12.623,0,0,0,0,0,5.532405605663791,4.747537427275013,0.8109302162163288,0.6528458837864196
K00082.01,CONFIRMED,16.145671932,3.7236,941.1,2.48,4900.0,4.602,0.741,11.492,0,0,0,0,0,2.841745776281373,6.848111426054622,1.247032293786383,0.554459660786052
K00490.02,CONFIRMED,1071.232624,16.1784,19046.0,9.27,4799.0,4.631,0.692,14.023,0,0,0,0,0,6.977498318089653,9.85466488783856,2.329227023940467,0.5259112611840315
K00534.02,CONFIRMED,2.735900074,1.9359,428.9,1.56,5299.0,4.597,0.766,14.613,0,0,0,0,0,1.317988773220886,6.063552623502236,0.9400072584914712,0.5687171021817683
K00535.01,CONFIRMED,5.852968845,4.5973,1146.5,3.46,6050.0,4.45,1.013,14.434,0,0,0,0,0,1.9246819664091999,7.0453409419347,1.4951487660319727,0.6996261466576544
K00536.01,CONFIRMED,81.1701587,8.358,1183.2,4.71,5460.0,4.263,1.165,14.499,0,0,0,0,0,4.408792203303042,7.076822720097676,1.7422190236679187,0.7724203614544531
K03191.02,FALSE POSITIVE,371.17573,8.2,133.7,4.07,9030.0,3.822,3.218,11.471,0,0,0,0,0,5.919366135204067,4.903050083416319,1.623340817603092,1.4393610820565828
K00537.01,CONFIRMED,2.820190603,2.554,467.5,2.53,5831.0,4.359,1.121,14.665,0,0,0,0,0,1.3403003174470145,6.149536101678477,1.2612978709452054,0.7518876755825454
K00538.01,CONFIRMED,21.21712312,5.89,636.0,2.97,6191.0,4.438,1.007,14.56,0,0,0,0,0,3.1008633032819355,6.456769655572163,1.3787660946990992,0.696641069814201
K00539.01,FALSE POSITIVE,200.0,7.27,70.8,1.08,5780.0,4.438,1.0,14.133,1,1,1,1,1,5.303304908059076,4.273884476054178,0.7323678937132266,0.6931471805599453
K00586.01,CONFIRMED,15.77980122,4.0369,541.4,2.11,5941.0,4.519,0.911,14.608,0,0,0,0,0,2.820175854723362,6.296003736626186,1.1346227261911428,0.647626665258136
K00587.01,CONFIRMED,14.03490255,3.638,851.8,2.41,5258.0,4.513,0.785,14.574,0,0,0,0,0,2.710374334876421,6.74852505341158,1.2267122912954256,0.5794184152316024
K00588.01,CONFIRMED,10.35586478,2.8431,660.9,1.92,4646.0,4.539,0.778,14.337,0,0,0,0,0,2.4297343311780844,6.495114487124877,1.0715836162801904,0.5754891370917128
K00094.01,CONFIRMED,22.342964828,6.66405,5612.8,9.99,6181.0,4.234,1.331,12.205,0,0,0,0,0,3.150295646554563,8.632983131064577,2.3969857684155302,0.8462973600536201
K00590.01,CONFIRMED,11.38840217,3.6949,438.0,3.04,5876.0,4.151,1.456,14.615,0,0,0,0,0,2.516760726065753,6.0844994130751715,1.3962446919730587,0.898534010284896
K00435.01,CONFIRMED,20.5498184,5.5484,1564.3,4.04,5688.0,4.415,0.971,14.534,0,0,0,0,0,3.070367389600097,7.355832777894177,1.6174060820832772,0.6785410281705831
K00435.02,CANDIDATE,934.09418462,17.489,8709.6,7.89,5937.0,4.559,0.832,14.534,0,0,0,0,0,6.840647256429442,9.072295953811537,2.1849270495258133,0.6054082662519384
K00436.01,CANDIDATE,199.83920527,4.378,44490.0,21.48,5457.0,4.548,0.869,14.74,0,0,0,0,0,5.302504614128203,10.7030422005086,3.1126260250254902,0.6254035284734258
K01437.03,FALSE POSITIVE,17.4217322,4.718,208.4,1.42,6052.0,4.456,0.967,15.28,0,0,0,0,0,2.9135310654937108,5.3442462984364365,0.8837675401685949,0.676509539406922
K00437.01,CANDIDATE,15.84132627,1.8215,31083.0,16.84,5119.0,4.575,0.702,14.497,0,0,0,0,0,2.823835762838892,10.344448496329132,2.8814431271518632,0.5318040301511824
K00438.01,CONFIRMED,5.931196562,2.4999,1007.4,2.01,3984.0,4.72,0.539,14.258,0,0,0,0,0,1.9360324623663512,6.9161201953137645,1.1019400787607843,0.4311328548567422
K00072.01,CONFIRMED,0.837491225,1.796,190.4,1.43,5676.0,4.347,1.044,10.961,0,0,0,0,0,0.6084011765832478,5.254365479018854,0.8878912573524571,0.714908672341458
K00490.03,CONFIRMED,7.40611676,2.8826,417.9,1.37,4799.0,4.631,0.692,14.023,0,0,0,0,0,2.128959626564974,6.037632227952989,0.8628899551470399,0.5259112611840315
K00490.04,CONFIRMED,21.803708,3.369,246.4,1.11,4799.0,4.631,0.692,14.023,0,0,0,0,0,3.1269231543162608,5.511006459958388,0.7466879474879752,0.5259112611840315
K00491.01,FALSE POSITIVE,4.66229074,3.73,345.4,24.12,6191.0,4.454,1.025,14.367,0,0,0,0,0,1.733828534717896,5.84759417668828,3.223664341599998,0.7055697005585024
K00492.01,CONFIRMED,29.9111886,6.6436,942.0,2.9,5275.0,4.397,0.969,14.424,0,0,0,0,0,3.4311182089796,6.849066282633458,1.3609765531356006,0.6775257996569884
K00493.01,FALSE POSITIVE,2.908453928,2.5363,427.5,19.44,5786.0,4.558,0.824,14.722,0,0,0,0,0,1.3631418809664553,6.060290738037835,3.017493765335504,0.6010318916521397
K00494.01,CONFIRMED,25.69581456,4.0251,1130.8,1.7,3787.0,4.775,0.477,14.885,0,0,0,0,0,3.2845067950659415,7.0315645647084235,0.9932517730102834,0.39001300354924273
K00540.01,FALSE POSITIVE,25.70280003,3.1644,5623.8,33.1,5532.0,4.488,0.835,14.917,0,0,0,0,0,3.284768429945179,8.634940670884951,3.529297384289471,0.6070444815065336
K00541.01,CONFIRMED,13.64617478,3.4098,633.0,2.06,5569.0,4.566,0.829,14.748,0,0,0,0,0,2.6841791942014295,6.452048954437226,1.1184149159642893,0.6037693694087286
K00007.01,CONFIRMED,3.213668926,3.98235,727.8,4.13,5795.0,4.101,1.545,12.211,0,0,0,0,0,1.4383337470369242,6.5913993459457485,1.635105659182678,0.9341306500024861
K00085.03,CONFIRMED,8.13121389,4.2386,111.8,1.58,6181.0,4.22,1.424,11.018,0,0,0,0,0,2.2116986419573763,4.725616339063959,0.9477893989335261,0.885419068207068
K00542.01,CONFIRMED,41.8854433,6.763,687.4,3.28,5735.0,4.356,1.028,14.35,0,0,0,0,0,3.7585324513366096,6.534370064337384,1.4539530095937054,0.7070500857289368
K00542.02,CONFIRMED,13.81733587,4.261,223.2,2.04,5735.0,4.356,1.028,14.35,0,0,0,0,0,2.6957978378511727,5.4125385106380595,1.1118575154181303,0.7070500857289368
K00597.03,CONFIRMED,52.8148051,7.309,553.7,3.33,5565.0,4.117,1.439,14.915,0,0,0,0,0,3.9855486170428818,6.318427427061189,1.4655675420143985,0.8915881192337832
K00598.01,CONFIRMED,8.30783912,3.1516,777.5,2.15,5320.0,4.589,0.786,14.813,0,0,0,0,0,2.230856961233949,6.657368991274053,1.1474024528375417,0.5799784824543073
K00598.02,CONFIRMED,34.0963441,3.896,472.7,1.71,5320.0,4.589,0.786,14.813,0,0,0,0,0,3.558096968351978,6.160574209929706,0.9969486348916095,0.5799784824543073
K00599.01,CONFIRMED,6.45442931,2.6772,586.1,2.48,6092.0,4.496,0.943,14.854,0,0,0,0,0,2.008808393978654,6.37519516307014,1.247032293786383,0.664233170395303
K00600.01,CONFIRMED,3.595769013,3.1569,383.7,2.39,5762.0,4.283,1.196,14.827,0,0,0,0,0,1.525136100455461,5.95246380975825,1.220829921392359,0.7866375236472842
K00438.02,CONFIRMED,52.6615266,3.1592,1078.1,1.87,3984.0,4.72,0.539,14.258,0,0,0,0,0,3.9826962940896307,6.983882639369688,1.0543120297715298,0.4311328548567422
K00439.01,CONFIRMED,1.902208647,2.19877,2343.5,4.45,5400.0,4.463,0.937,14.313,0,0,0,0,0,1.065472049534272,7.759827438529641,1.6956156086751528,0.6611403844248589
