tfopwg_disp,dec,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,st_tmag,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,disp_3class,log_orbper,sqrt_pl_rade,log_trandep,rel_radius,depth_norm,compactness
FP,-57.590248,2.184,-2.184,1.073,-1.073,0.000628,-0.000628,12.1246519,1.03e-05,-1.03e-05,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,2.59688,-2.59688,9.5706,0.006,-0.006,2.83992,-2.83992,4807.6,60.0,-60.0,4.17,0.36,-0.36,1.07,0.03,-0.03,False,2.5744922862212136,4.203914842144165,22.708259327219913,16.516728971962614,6802.803738317757,11.331450373831775
FP,-67.026006,0.042,-0.042,0.047,-0.047,0.002852,-0.002852,5.652623,2.54e-05,-2.54e-05,0.475,-0.475,1250.0,26.0133,-26.0133,8.94354,1.13988,-1.13988,9.7318,0.006,-0.006,1.6275,-1.6275,6415.4,103.2,-103.2,3.98,0.08,-0.08,1.92,0.08,-0.08,False,1.895011212988523,2.9905751955100546,20.94640938906062,4.658093750000001,651.0416666666667,2.944074479166667
PC,-42.541639,0.072,-0.072,0.087,-0.087,0.000897,-0.000897,5.6643704,1.09e-05,-1.09e-05,0.0887935,-0.0887935,3491.8232968,95.25267,-95.25267,14.7738943,0.7471176,-0.7471176,9.7611,0.006,-0.006,18.7865,-18.7865,10395.0,320.6,-320.6,4.13,0.07,-0.07,2.3383701,0.109357,-0.109357,Candidate,1.8967754855527996,3.843682388023235,21.97368987163886,6.318030794184376,1493.272299709956,2.4223583768882437
FP,-60.498444,3.1,-3.1,2.2,-2.2,0.002821,-0.002821,29.0160175,6.47e-05,-6.47e-05,0.314,-0.314,1389.0,36.0326,-36.0326,6.77406,,,10.0163,0.006,-0.006,,,6113.1,,,,,,2.01,,,False,3.4017311558460324,2.6027024416940177,21.051849901438562,3.3701791044776126,691.0447761194031,14.43582960199005
FP,-49.000578,0.063,-0.063,0.062,-0.062,0.002617,-0.002617,3.6404389,8.2e-06,-8.2e-06,0.5744699,-0.5744699,476.3077321,35.1115139,-35.1115139,3.7025342,0.1738907,-0.1738907,9.8174,0.006,-0.006,4.983,-4.983,9810.0,173.7,-173.7,4.43,0.06,-0.06,1.60776,0.0427739,-0.0427739,False,1.5348089522820043,1.9241970273337397,19.981574701415063,2.302914738518187,296.2554934194158,2.2642924939045628
PC,-61.583182,0.239,-0.239,0.207,-0.207,0.000437,-0.000437,6.0744477,5.9e-06,-5.9e-06,0.0518881,-0.0518881,5982.5212406,93.93912,-93.93912,30.9493217,11.697444,-11.697444,10.1126,0.006,-0.006,13.63,-13.63,5964.0,128.4,-128.4,3.7,0.09,-0.09,2.4303801,0.151568,-0.151568,Candidate,1.9564893768779394,5.5632114556252485,22.51210792836315,12.734354474018282,2461.5578610934153,2.4993817633710878
PC,-42.240448,0.037,-0.037,0.049,-0.049,0.001095,-0.001095,3.7795212,4e-06,-4e-06,0.158,-0.158,2761.0,60.2474,-60.2474,5.98375,0.311897,-0.311897,10.2855,0.006,-0.006,0.962,-0.962,5771.0,132.3,-132.3,4.31,0.08,-0.08,1.18,0.06,-0.06,Candidate,1.5643403741222623,2.4461704764795114,21.738858770256616,5.070974576271187,2339.8305084745766,3.2029840677966104
FP,-63.306478,0.07,-0.07,0.068,-0.068,0.003174,-0.003174,1.2025238,6.7e-06,-6.7e-06,0.052,-0.052,390.0,107.57,-107.57,6.31106,1.99504,-1.99504,9.0211,0.006,-0.006,3.279,-3.279,9158.0,171.4,-171.4,4.32,0.07,-0.07,1.74,0.05,-0.05,False,0.7896038846721979,2.5121823182245353,19.781657299652068,3.6270459770114947,224.13793103448276,0.6911056321839081
FP,-49.940347,1.6,-1.6,1.5,-1.5,0.002025,-0.002025,3.2235985,1.38e-05,-1.38e-05,0.452,-0.452,680.0,1.13,-1.13,5.51341,,,8.7157,0.006,-0.006,,,8904.0,239.9,-239.9,4.09,1.36,-1.36,2.17,,,False,1.4406874898028914,2.3480651609357013,20.337603357605015,2.5407419354838714,313.3640552995392,1.4855292626728112
APC,-58.760453,0.215,-0.215,0.246,-0.246,0.00071,-0.00071,4.420125,8.5e-06,-8.5e-06,1.259,-1.259,2466.0,196.3,-196.3,,,,8.5483,0.6,-0.6,1012.54,-1012.54,,,,,,,,,,Candidate,1.6901188779162415,,21.625863242094077,,,
KP,-58.148933,0.045,-0.045,0.043,-0.043,0.000682,-0.000682,4.0872956,2.3e-06,-2.3e-06,0.0508755,-0.0508755,3572.1712499,35.689426,-35.689426,13.6237732,0.6518233,-0.6518233,9.8638,0.006,-0.006,2.9655,-2.9655,6036.0,,,3.93359,,,2.2186699,0.102573,-0.102573,Planet,1.626746373057423,3.6910395825566544,21.996439441392642,6.1405138276766635,1610.050801112865,1.8422279042051275
FP,-61.488262,0.118,-0.118,0.097,-0.097,0.00497,-0.00497,2.55555,0.00045,-0.00045,0.375,-0.375,340.0,1.37224,-1.37224,11.5901,,,8.3854,0.007,-0.007,32.449,-32.449,10037.0,123.0,-123.0,,,,6.04,,,False,1.2685097629622866,3.404423592915547,19.644456178515657,1.918890728476821,56.29139072847682,0.4231043046357616
